week,zone_type,hour,mae
2025-08-04/2025-08-10,non_airport,23,1158.8463171141993
2025-08-11/2025-08-17,airport,0,50.07382180687086
2025-08-11/2025-08-17,airport,1,56.71102682875171
2025-08-11/2025-08-17,airport,2,40.47096498416875
2025-08-11/2025-08-17,airport,3,18.816509879842886
2025-08-11/2025-08-17,airport,4,14.631324836349744
2025-08-11/2025-08-17,airport,5,27.892909104987435
2025-08-11/2025-08-17,airport,6,29.576765154483184
2025-08-11/2025-08-17,airport,7,25.737330816772978
2025-08-11/2025-08-17,airport,8,40.87558354323759
2025-08-11/2025-08-17,airport,9,24.691290333167352
2025-08-11/2025-08-17,airport,10,49.98177637203177
2025-08-11/2025-08-17,airport,11,44.48725986161819
2025-08-11/2025-08-17,airport,12,46.28310720537536
2025-08-11/2025-08-17,airport,13,62.84144297214137
2025-08-11/2025-08-17,airport,14,31.41684212423326
2025-08-11/2025-08-17,airport,15,62.68662470392276
2025-08-11/2025-08-17,airport,16,77.2295699005178
2025-08-11/2025-08-17,airport,17,46.46412673495
2025-08-11/2025-08-17,airport,18,57.76900710267182
2025-08-11/2025-08-17,airport,19,51.86024849976224
2025-08-11/2025-08-17,airport,20,64.05499614290578
2025-08-11/2025-08-17,airport,21,107.31786366139787
2025-08-11/2025-08-17,airport,22,75.52519841581645
2025-08-11/2025-08-17,airport,23,66.00987808313197
2025-08-11/2025-08-17,non_airport,0,707.0492420004435
2025-08-11/2025-08-17,non_airport,1,408.1399145829914
2025-08-11/2025-08-17,non_airport,2,210.76179359691588
2025-08-11/2025-08-17,non_airport,3,125.09931861612124
2025-08-11/2025-08-17,non_airport,4,68.26244058088614
2025-08-11/2025-08-17,non_airport,5,99.93027904910791
2025-08-11/2025-08-17,non_airport,6,201.84155487092312
2025-08-11/2025-08-17,non_airport,7,461.6088581880063
2025-08-11/2025-08-17,non_airport,8,673.4790454316359
2025-08-11/2025-08-17,non_airport,9,863.2503125414324
2025-08-11/2025-08-17,non_airport,10,915.6542924659443
2025-08-11/2025-08-17,non_airport,11,1012.6014335611449
2025-08-11/2025-08-17,non_airport,12,1105.677544448713
2025-08-11/2025-08-17,non_airport,13,1193.7616850044567
2025-08-11/2025-08-17,non_airport,14,1365.09062970471
2025-08-11/2025-08-17,non_airport,15,1419.5641012280478
2025-08-11/2025-08-17,non_airport,16,1449.5999294886772
2025-08-11/2025-08-17,non_airport,17,1597.201278415268
2025-08-11/2025-08-17,non_airport,18,1674.0551329761126
2025-08-11/2025-08-17,non_airport,19,1760.2869755792167
2025-08-11/2025-08-17,non_airport,20,1616.76173418633
2025-08-11/2025-08-17,non_airport,21,1524.2356915062346
2025-08-11/2025-08-17,non_airport,22,1370.1755191099828
2025-08-11/2025-08-17,non_airport,23,1064.5290089268915
2025-08-18/2025-08-24,airport,0,46.36179861825467
2025-08-18/2025-08-24,airport,1,61.93310252441513
2025-08-18/2025-08-24,airport,2,19.666472340895208
2025-08-18/2025-08-24,airport,3,11.491585331530159
2025-08-18/2025-08-24,airport,4,16.226744566188316
2025-08-18/2025-08-24,airport,5,15.380937735245809
2025-08-18/2025-08-24,airport,6,29.3685993919922
2025-08-18/2025-08-24,airport,7,15.159665055828027
2025-08-18/2025-08-24,airport,8,33.91702534272691
2025-08-18/2025-08-24,airport,9,32.48992118890615
2025-08-18/2025-08-24,airport,10,36.56489159404279
2025-08-18/2025-08-24,airport,11,44.78810164989922
2025-08-18/2025-08-24,airport,12,34.30062281413363
2025-08-18/2025-08-24,airport,13,50.44731865379016
2025-08-18/2025-08-24,airport,14,28.19458426388569
2025-08-18/2025-08-24,airport,15,46.04379039036528
2025-08-18/2025-08-24,airport,16,49.53363429351283
2025-08-18/2025-08-24,airport,17,33.729273669284616
2025-08-18/2025-08-24,airport,18,36.576431195362915
2025-08-18/2025-08-24,airport,19,31.411091208738036
2025-08-18/2025-08-24,airport,20,34.462402839654516
2025-08-18/2025-08-24,airport,21,84.23236984238852
2025-08-18/2025-08-24,airport,22,68.12479505398302
2025-08-18/2025-08-24,airport,23,54.460783221461966
2025-08-18/2025-08-24,non_airport,0,690.1343261610785
2025-08-18/2025-08-24,non_airport,1,378.5167412423301
2025-08-18/2025-08-24,non_airport,2,180.11937317917972
2025-08-18/2025-08-24,non_airport,3,112.19333420027581
2025-08-18/2025-08-24,non_airport,4,70.16592080158125
2025-08-18/2025-08-24,non_airport,5,99.50395136730552
2025-08-18/2025-08-24,non_airport,6,187.5785653326656
2025-08-18/2025-08-24,non_airport,7,438.91770356292244
2025-08-18/2025-08-24,non_airport,8,647.8226519438841
2025-08-18/2025-08-24,non_airport,9,860.3498071822197
2025-08-18/2025-08-24,non_airport,10,877.520929880063
2025-08-18/2025-08-24,non_airport,11,951.8829886617616
2025-08-18/2025-08-24,non_airport,12,1057.8271105342606
2025-08-18/2025-08-24,non_airport,13,1147.9440994005554
2025-08-18/2025-08-24,non_airport,14,1271.0566498902708
2025-08-18/2025-08-24,non_airport,15,1390.8228813861529
2025-08-18/2025-08-24,non_airport,16,1410.7853895210671
2025-08-18/2025-08-24,non_airport,17,1583.5697174258212
2025-08-18/2025-08-24,non_airport,18,1550.3348435115215
2025-08-18/2025-08-24,non_airport,19,1672.0996376769651
2025-08-18/2025-08-24,non_airport,20,1511.2831817179342
2025-08-18/2025-08-24,non_airport,21,1421.009719376844
2025-08-18/2025-08-24,non_airport,22,1396.638670021348
2025-08-18/2025-08-24,non_airport,23,1083.334837267627
2025-08-25/2025-08-31,airport,0,42.49122327958313
2025-08-25/2025-08-31,airport,1,38.03933739799269
2025-08-25/2025-08-31,airport,2,21.54352382543981
2025-08-25/2025-08-31,airport,3,13.901235995544246
2025-08-25/2025-08-31,airport,4,18.787418757149922
2025-08-25/2025-08-31,airport,5,15.601616757983045
2025-08-25/2025-08-31,airport,6,19.651236327581817
2025-08-25/2025-08-31,airport,7,16.98032488777171
2025-08-25/2025-08-31,airport,8,28.475837210516264
2025-08-25/2025-08-31,airport,9,25.337821900730084
2025-08-25/2025-08-31,airport,10,21.489110566130464
2025-08-25/2025-08-31,airport,11,29.460046909016654
2025-08-25/2025-08-31,airport,12,25.250960052727017
2025-08-25/2025-08-31,airport,13,36.905421643066106
2025-08-25/2025-08-31,airport,14,35.373726123003934
2025-08-25/2025-08-31,airport,15,33.19405700571579
2025-08-25/2025-08-31,airport,16,37.35990419549617
